Year,United States,Luxembourg,Switzerland,Canada,Norway,Mozambique,Madagascar,Sierra Leone,Afghanistan,Central African Republic
1996,78,55,72,79,83,108,94,96,19,81
1997,79,57,73,79,83,108,94,96,19,81
1998,79,58,74,80,84,107,94,96,19,81
1999,79,61,75,81,84,106,94,97,19,81
2000,80,63,74,81,84,106,94,97,19,81
2001,80,63,76,82,85,106,94,97,19,81
2002,80,64,77,83,87,105,94,97,19,81
2003,81,66,78,84,86,105,94,98,20,81
2004,81,69,78,84,87,105,94,97,20,81
2005,81,70,79,84,86,104,94,97,20,81
2006,81,73,80,85,87,104,95,97,20,81
2007,81,74,79,86,88,103,95,97,19,81
2008,81,74,82,85,88,102,95,97,19,81
2009,82,74,82,86,89,102,96,97,19,81
2010,82,75,81,87,89,101,96,97,19,81
2011,82,77,81,86,90,100,96,97,20,80
2012,82,78,82,87,89,100,96,97,20,80
2013,82,78,83,87,90,99,95,97,22,80
2014,82,79,84,87,90,98,94,97,23,80
2015,82,82,84,86,90,97,93,96,25,80
2016,82,82,85,87,90,97,93,97,26,80
2017,82,85,84,87,90,98,94,97,28,80
2018,82,86,85,88,90,98,94,98,29,81
2019,83,84,86,87,90,98,94,99,29,81